73,czysta
60,mokra
32,zimna
29,rzeka
28,morze
28,życie
26,mineralna
23,picie
22,mokro
22,ogień
16,głęboka
16,płynie
16,strumień
15,pragnienie
14,cicha
13,niebieska
12,źródlana
11,spokojna
10,jezioro
10,mokre
10,pić
10,rwąca
10,święcona
10,źródło
9,kran
8,napój
8,ocean
8,przejrzysta
8,płyn
7,ciecz
7,kropla
7,sodowa
6,bystra
6,czystość
6,pitna
6,przeźroczysta
6,słona
5,butelka
5,ciepła
5,"do picia"
5,gazowana
5,kolońska
5,morska
5,szum
5,wielka
4,brudna
4,niebieski
4,niegazowana
4,plusk
3,brzeg
3,kac
3,strumyk
3,szeroka
3,szklanka
3,śnieg
3,świeża
3,świeżość
3,wakacje
3,wartka
3,wodospad
3,wóda
3,zimno
3,żywioł
2,ciemna
2,deszcz
2,duża
2,H20
2,lód
2,mętna
2,mokry
2,ognista
2,orzeźwienie
2,pływanie
2,powietrze
2,przezroczysta
2,przezroczystość
2,pustynia
2,ryba
2,smaczna
2,studnia
2,tafla
2,toaletowa
2,utleniona
2,wilgoć
2,wódka
2,ziemia
2,żródlana
2,życia